"CTTphi1","CTTphi2","CTTphi3","CFAphi1","CFAphi2","CFAphi3","PCMphi1","PCMphi2","PCMphi3","GPCMphi1","GPCMphi2","GPCMphi3","CTTkappa1","CTTkappa2","CTTkappa3","CFAkappa1","CFAkappa2","CFAkappa3","PCMkappa1","PCMkappa2","PCMkappa3","GPCMkappa1","GPCMkappa2","GPCMkappa3","CTTtypeone1","CTTtypeone2","CTTtypeone3","CFAtypeone1","CFAtypeone2","CFAtypeone3","PCMtypeone1","PCMtypeone2","PCMtypeone3","GPCMtypeone1","GPCMtypeone2","GPCMtypeone3","CTTtypetwo1","CTTtypetwo2","CTTtypetwo3","CFAtypetwo1","CFAtypetwo2","CFAtypetwo3","PCMtypetwo1","PCMtypetwo2","PCMtypetwo3","GPCMtypetwo1","GPCMtypetwo2","GPCMtypetwo3"
0.548,0.602,0.63,0.518,0.578,0.612,0.524,0.59,0.636,0.518,0.568,0.612,0.515662282649929,0.589741924593231,0.62576125686734,0.518561067046659,0.577302749308606,0.612381177996717,0.520787969939803,0.588115679487952,0.635112095387895,0.518561067046659,0.568413860419717,0.612381177996717,0.0581333333333333,0.0605333333333333,0.0736,0.0253333333333333,0.0384,0.0510666666666667,0.0341333333333333,0.046,0.0570666666666667,0.0253333333333333,0.0392,0.0510666666666667,0.0104,0.0257333333333333,0.0333333333333333,0.0225333333333333,0.0378666666666667,0.0489333333333333,0.0192,0.0326666666666667,0.0408,0.0225333333333333,0.0386666666666667,0.0489333333333333
0.5425,0.59,0.63,0.525,0.5675,0.5975,0.525,0.585,0.6225,0.525,0.555,0.5975,0.507663475283332,0.578173574323915,0.625756664639268,0.524517123282008,0.566072881080201,0.597829413672367,0.521177270117062,0.583548854679089,0.621307037663872,0.524517123282008,0.554961769969091,0.597829413672367,0.0616666666666667,0.0616666666666667,0.0725,0.0256666666666667,0.0395,0.0533333333333333,0.0351666666666667,0.047,0.0593333333333333,0.0256666666666667,0.0405,0.0533333333333333,0.01,0.0271666666666667,0.0341666666666667,0.0221666666666667,0.0388333333333333,0.0506666666666667,0.019,0.0328333333333333,0.0425,0.0221666666666667,0.0398333333333333,0.0506666666666667
0.503333333333333,0.553333333333333,0.586666666666667,0.503333333333333,0.543333333333333,0.546666666666667,0.493333333333333,0.546666666666667,0.576666666666667,0.503333333333333,0.526666666666667,0.546666666666667,0.462136897617965,0.537707827281672,0.580336190643886,0.501260308052306,0.539949026625454,0.546526606511849,0.487641302163143,0.544874867755238,0.576080505463535,0.501260308052306,0.525134211810639,0.546526606511849,0.0702222222222222,0.0715555555555556,0.0833333333333333,0.0275555555555556,0.042,0.0604444444444444,0.0388888888888889,0.052,0.0671111111111111,0.0275555555555556,0.0433333333333333,0.0604444444444444,0.0106666666666667,0.0282222222222222,0.0375555555555556,0.0228888888888889,0.0411111111111111,0.0568888888888889,0.02,0.0357777777777778,0.0473333333333333,0.0228888888888889,0.0424444444444444,0.0568888888888889
0.495,0.555,0.59,0.5,0.525,0.535,0.485,0.54,0.58,0.5,0.5,0.535,0.448990268307981,0.550590816727285,0.583759487538354,0.499066861408633,0.522222222222222,0.537016307947209,0.484643784485556,0.536190550606865,0.580732943615333,0.499066861408633,0.5,0.537016307947209,0.076,0.052,0.083,0.028,0.043,0.062,0.035,0.052,0.066,0.028,0.045,0.062,0.01,0.035,0.037,0.023,0.043,0.058,0.022,0.037,0.047,0.023,0.045,0.058
0.53,0.55,0.62,0.59,0.56,0.53,0.59,0.52,0.59,0.59,0.51,0.53,0.486969012928381,0.54356846473029,0.615384615384615,0.594287568971113,0.555555555555555,0.534508440913604,0.594287568971113,0.514767932489451,0.591979482396829,0.594287568971113,0.511111111111111,0.534508440913604,0.072,0.052,0.08,0.02,0.04,0.06,0.02,0.052,0.068,0.02,0.044,0.06,0.008,0.036,0.032,0.02,0.04,0.06,0.02,0.04,0.044,0.02,0.044,0.06
