"","x"
"1",0.97
"2",0.924
"3",0.92
"4",0.865
"5",0.873
"6",0.995
"7",0.977
"8",0.943
"9",0.94
"10",0.897
"11",0.904
"12",0.996
"13",0.982
"14",0.969
"15",0.963
"16",0.939
"17",0.941
"18",0.996
"19",0.978
"20",0.986
"21",0.984
"22",0.974
"23",0.974
"24",0.997
