"","a401","a402","a403","a404","a405","a406","a407","a408","a409","a410","a411","a412","a413","a414","a415","a416","a417","a418","a419"
"1",0.0981127956344133,0.0792579575219445,0.0587558252134899,0.0593116549977411,0.0919854707293398,0.0950516101913411,0.0887939088053451,0,0.086045777697217,0.088452845804156,0,0.183608683220627,0.0635863810142044,0.0670241168208136,0,0.10193570425472,0.0832620381364746,0,0
"2",0.0981127956344133,0.0792579575219445,0.0587558252134899,0.0593116549977411,0.275956412188019,0.190103220382682,0.0887939088053451,0.0807667154335407,0.086045777697217,0,0,0.27541302483094,0.0635863810142044,0.0670241168208136,0.0796799292257143,0.203871408509441,0.0832620381364746,0.0900870561725901,0.0914885726547018
"3",0.196225591268827,0.0792579575219445,0.0587558252134899,0.0593116549977411,0.18397094145868,0.285154830574023,0.0887939088053451,0.0807667154335407,0,0,0.0801586173602905,0.183608683220627,0.0635863810142044,0.0670241168208136,0.0796799292257143,0.203871408509441,0.0832620381364746,0.0900870561725901,0.0914885726547018
"4",0.196225591268827,0.0792579575219445,0.0587558252134899,0.0593116549977411,0.18397094145868,0.190103220382682,0.0887939088053451,0.0807667154335407,0.086045777697217,0.088452845804156,0,0.183608683220627,0.0635863810142044,0.0670241168208136,0.0796799292257143,0.10193570425472,0.0832620381364746,0.0900870561725901,0.0914885726547018
"5",0.196225591268827,0.0792579575219445,0.0587558252134899,0.0593116549977411,0.275956412188019,0.285154830574023,0.0887939088053451,0.0807667154335407,0.086045777697217,0.088452845804156,0,0.0918043416103134,0.0635863810142044,0.0670241168208136,0.0796799292257143,0.203871408509441,0.0832620381364746,0.0900870561725901,0
"6",0.196225591268827,0.0792579575219445,0.0587558252134899,0.0593116549977411,0.18397094145868,0.190103220382682,0.0887939088053451,0.0807667154335407,0,0.088452845804156,0,0.183608683220627,0.0635863810142044,0.0670241168208136,0.0796799292257143,0.10193570425472,0.0832620381364746,0,0
"7",0.29433838690324,0.0792579575219445,0.0587558252134899,0.0593116549977411,0.275956412188019,0.285154830574023,0.0887939088053451,0.0807667154335407,0.086045777697217,0.088452845804156,0,0.27541302483094,0.0635863810142044,0.0670241168208136,0.0796799292257143,0.305807112764161,0.0832620381364746,0.0900870561725901,0.0914885726547018
"8",0.196225591268827,0.0792579575219445,0.0587558252134899,0.0593116549977411,0.0919854707293398,0.0950516101913411,0,0,0,0,0,0,0.0635863810142044,0.0670241168208136,0,0,0,0,0
"9",0.0981127956344133,0.0792579575219445,0.0587558252134899,0.0593116549977411,0.18397094145868,0.190103220382682,0.0887939088053451,0,0.086045777697217,0,0,0.183608683220627,0.0635863810142044,0.0670241168208136,0.0796799292257143,0.10193570425472,0.0832620381364746,0.0900870561725901,0
"10",0.196225591268827,0.0792579575219445,0.0587558252134899,0.0593116549977411,0.18397094145868,0.190103220382682,0.0887939088053451,0.0807667154335407,0,0.088452845804156,0,0.183608683220627,0.0635863810142044,0.0670241168208136,0.0796799292257143,0.10193570425472,0.0832620381364746,0,0
"11",0.196225591268827,0.0792579575219445,0.0587558252134899,0.0593116549977411,0.0919854707293398,0.0950516101913411,0.0887939088053451,0,0,0,0.0801586173602905,0.0918043416103134,0.0635863810142044,0.0670241168208136,0.0796799292257143,0.10193570425472,0.0832620381364746,0,0
"12",0.196225591268827,0.0792579575219445,0.0587558252134899,0.0593116549977411,0.18397094145868,0.190103220382682,0.0887939088053451,0.0807667154335407,0.086045777697217,0.088452845804156,0.0801586173602905,0.183608683220627,0.0635863810142044,0.0670241168208136,0.0796799292257143,0.10193570425472,0.0832620381364746,0.0900870561725901,0.0914885726547018
"13",0.0981127956344133,0.0792579575219445,0.0587558252134899,0.0593116549977411,0.18397094145868,0.190103220382682,0.0887939088053451,0,0,0,0,0.0918043416103134,0.0635863810142044,0.0670241168208136,0.0796799292257143,0.10193570425472,0.0832620381364746,0,0
"14",0.0981127956344133,0.0792579575219445,0.0587558252134899,0.0593116549977411,0.18397094145868,0.0950516101913411,0.0887939088053451,0.0807667154335407,0,0,0,0.183608683220627,0.0635863810142044,0.0670241168208136,0.0796799292257143,0.10193570425472,0.0832620381364746,0.0900870561725901,0.0914885726547018
"15",0.196225591268827,0.0792579575219445,0.0587558252134899,0.0593116549977411,0.18397094145868,0.0950516101913411,0.0887939088053451,0.0807667154335407,0.086045777697217,0,0,0.183608683220627,0.0635863810142044,0.0670241168208136,0.0796799292257143,0.10193570425472,0.0832620381364746,0.0900870561725901,0.0914885726547018
"16",0.196225591268827,0.0792579575219445,0.0587558252134899,0.0593116549977411,0.275956412188019,0.285154830574023,0.0887939088053451,0.0807667154335407,0.086045777697217,0.088452845804156,0,0.27541302483094,0.0635863810142044,0.0670241168208136,0.0796799292257143,0.305807112764161,0,0.0900870561725901,0.0914885726547018
"17",0.196225591268827,0.0792579575219445,0.0587558252134899,0.0593116549977411,0.18397094145868,0.190103220382682,0.0887939088053451,0.0807667154335407,0.086045777697217,0,0,0.183608683220627,0.0635863810142044,0.0670241168208136,0.0796799292257143,0.203871408509441,0.0832620381364746,0,0
"18",0.0981127956344133,0.0792579575219445,0.0587558252134899,0.0593116549977411,0.275956412188019,0.285154830574023,0.0887939088053451,0,0.086045777697217,0.088452845804156,0,0.183608683220627,0.0635863810142044,0.0670241168208136,0.0796799292257143,0.203871408509441,0.0832620381364746,0.0900870561725901,0.0914885726547018
