"","x"
"1",0.987
"2",0.997
"3",0.995
"4",0.992
"5",0.993
"6",0.995
"7",0.987
"8",0.998
"9",0.994
"10",0.99
"11",0.995
"12",0.995
"13",0.99
"14",0.999
"15",0.994
"16",0.991
"17",0.996
"18",0.995
"19",0.988
"20",0.999
"21",0.996
"22",0.988
"23",0.991
"24",0.995
